#Table1
class,z,dered_r
GALAXY,0.1626759,17.49197
GALAXY,0.1627002,17.49197
GALAXY,0.1520063,16.33869
QSO,0.6928394,18.54042
GALAXY,0.4385464,19.13379
GALAXY,0.1540819,16.23695
GALAXY,0.05158934,17.30493
GALAXY,0.1633932,17.49615
GALAXY,0.1241183,17.34939
GALAXY,0.03638333,16.2277
GALAXY,0.1239846,17.34939
GALAXY,0.1633623,17.49615
GALAXY,0.151483,17.19732
GALAXY,0.1232092,16.87716
GALAXY,0.03745268,16.94624
GALAXY,0.03635695,16.2277
QSO,0.4645427,
GALAXY,0.0374546,16.94624
GALAXY,0.1198637,16.34823
GALAXY,0.4385915,19.13379
GALAXY,0.122491,17.18013
GALAXY,0.1224141,17.18013
GALAXY,0.03797853,16.16266
GALAXY,0.124454,16.65275
QSO,0.6924847,18.54042
GALAXY,0.1198547,16.34823
GALAXY,0.05328872,16.67223
GALAXY,0.1515293,17.19732
GALAXY,0.1539679,16.23695
GALAXY,0.4404075,19.38155
GALAXY,0.05329375,16.67223
GALAXY,0.1205831,17.61606
GALAXY,0.1645139,17.62186
GALAXY,0.02662709,15.76427
GALAXY,0.02660205,15.76427
GALAXY,0.1561304,17.83411
GALAXY,0.2033103,
GALAXY,0.4668407,18.92344
GALAXY,0.1671185,17.69273
GALAXY,0.3509711,
GALAXY,0.4667579,18.92344
GALAXY,0.08001204,20.61537
GALAXY,0.1561039,17.83411
GALAXY,0.1658333,17.71211
GALAXY,0.1642566,17.61864
GALAXY,0.1641583,17.61864
GALAXY,0.1222728,17.46826
GALAXY,0.1223441,17.58872
GALAXY,0.0627807,16.86727
GALAXY,0.1643317,17.62186
GALAXY,0.02524959,14.24817
GALAXY,0.1252583,16.39168
GALAXY,0.1224014,17.58872
GALAXY,0.0367165,16.49957
GALAXY,0.07998672,20.61537
GALAXY,0.1670902,17.69273
GALAXY,0.1657063,17.71211
GALAXY,0.7784789,16.82271
GALAXY,0.02156401,16.82271
GALAXY,0.06277641,16.86727
GALAXY,0.03669919,16.49957
GALAXY,0.122207,17.46826
GALAXY,0.1207068,17.61606
GALAXY,0.02494532,17.1387
GALAXY,0.02492348,17.1387
GALAXY,0.02524963,14.24817
GALAXY,0.123279,17.60763
GALAXY,0.1232731,17.60763
GALAXY,0.125227,16.39168
GALAXY,0.1608339,17.33367
GALAXY,0.4064635,19.28331
GALAXY,0.1224251,16.82785
GALAXY,0.006342039,17.55533
GALAXY,0.1436299,17.11318
GALAXY,0.120363,17.01946
GALAXY,0.4286148,19.50647
GALAXY,0.1224818,16.82785
GALAXY,0.2834807,18.44515
GALAXY,0.283498,18.44515
GALAXY,0.2418186,17.55
GALAXY,0.1201322,17.23969
GALAXY,0.1231523,16.4537
GALAXY,0.12037,17.01946
GALAXY,0.143772,17.11318
GALAXY,0.2418427,17.55
GALAXY,0.006355164,17.55533
GALAXY,0.1201727,17.23969
GALAXY,0.437159,19.28238
GALAXY,0.1221876,16.02856
QSO,2.520288,19.2196
GALAXY,0.9735537,19.50647
GALAXY,0.1200819,16.72798
GALAXY,0.1222266,16.20984
GALAXY,0.1222711,16.20984
GALAXY,0.1200918,16.72798
